run,generation_line,generation,rule_id,status,matched_previous_rule_id,similarity,category,rule_text,previous_rule_text
3 generationLine1,direct,5,00056,mutated,00048,0.747,Altruism|Mutualism,"Coordinate: one melee close threats, one bows ranged/backup; if partner attacked/retreats, cover immediately or follow; NEVER solo patrol/advance/engage.","Coordinate: one melee close, one bow ranged; if partner retreats follow immediately and cover from afar; never solo advance/patrol."
3 generationLine1,direct,5,00057,new,,,Communication|Self Preservation,"NEVER use patrol_area (risks new mobs); when no hostiles: eat to full + communicate ""Clear, Health [X], ready/cover"" + do_nothing/move safe together.",
3 generationLine1,direct,5,00058,mutated,00050,0.774,Spatial Coordination & Architecture|Self Preservation,Prioritize: self-heal/eat > retreat to x=-20 z=20 > partner cover > kills; stay defensive near safe spot.,Prioritize self-heal/eat > retreat > partner cover > kills; same safe spot x=-20 z=20.
3 generationLine1,direct,5,,disappeared,00049,,Communication|Self Preservation,,"Never idle: always attack (if safe), eat, move, or communicate."
4 generationLine2,direct,2,00059,new,,,Self Preservation,"Equip ""leather_chestplate"" immediately for protection.",
4 generationLine2,direct,2,00060,new,,,Self Preservation,"Eat ""bread_until_full"" whenever health drops below 10.",
4 generationLine2,direct,2,00063,new,,,Communication,"Send warnings to teammates: ""Warning: [mob type] approaching! IDs [IDs] ([distances]). [Plan].""",
4 generationLine2,direct,2,00064,new,,,Self Preservation,Ignore new items if under attack; eat and fight first.,
4 generationLine2,direct,3,00065,persisted,00059,1.0,Self Preservation,"Equip ""leather_chestplate"" immediately for protection.","Equip ""leather_chestplate"" immediately for protection."
4 generationLine2,direct,3,00066,became more specific,00060,0.698,Self Preservation,"Eat ""eat_bread_until_full"" immediately if health drops below 10 or ""health is low"".","Eat ""bread_until_full"" whenever health drops below 10."
4 generationLine2,direct,3,00069,new,,,Self Preservation,"Maintain ""maintain_line_of_sight"" to teammates (distance:2, mode:""defensive"") when safe.",
4 generationLine2,direct,3,00070,new,,,Communication|Self Preservation,"Send updates to teammates: ""[Status]. Threats: [mob IDs] ([distances]). Plan: [attacks/eat]. Stay close!""",
4 generationLine2,direct,3,00071,mutated,00064,0.612,Self Preservation,Ignore items and non-threat actions under attack; prioritize eat/fight.,Ignore new items if under attack; eat and fight first.
4 generationLine2,direct,3,,disappeared,00063,,Communication,,"Send warnings to teammates: ""Warning: [mob type] approaching! IDs [IDs] ([distances]). [Plan]."""
4 generationLine2,direct,4,00072,persisted,00065,1.0,Self Preservation,"Equip ""leather_chestplate"" immediately for protection.","Equip ""leather_chestplate"" immediately for protection."
4 generationLine2,direct,4,00074,new,,,Self Preservation,"Eat ""eat_bread_until_full"" if health <15, after damage, or post-fight.",
4 generationLine2,direct,4,00076,became more specific,00069,0.728,Self Preservation,"Prioritize ""maintain_line_of_sight"" to teammates (distance:2, mode:""defensive"") unless threat <2 blocks; restore ASAP after.","Maintain ""maintain_line_of_sight"" to teammates (distance:2, mode:""defensive"") when safe."
4 generationLine2,direct,4,00077,mutated,00070,0.768,Communication|Self Preservation,"Send updates post-action: ""[Status/CLEARED]. Threats: [mob IDs] ([distances]). Plan: [eat/fight]. Stay close!""","Send updates to teammates: ""[Status]. Threats: [mob IDs] ([distances]). Plan: [attacks/eat]. Stay close!"""
4 generationLine2,direct,4,00078,new,,,Self Preservation,"Under attack + low health (<12), eat first, fight second.",
4 generationLine2,direct,4,00079,new,,,Self Preservation,Ignore items/pickups/non-threats until safe; never separate from team.,
4 generationLine2,direct,4,,disappeared,00066,,Self Preservation,,"Eat ""eat_bread_until_full"" immediately if health drops below 10 or ""health is low""."
4 generationLine2,direct,4,,disappeared,00071,,Self Preservation,,Ignore items and non-threat actions under attack; prioritize eat/fight.
4 generationLine2,direct,5,00080,persisted,00072,1.0,Self Preservation,"Equip ""leather_chestplate"" immediately for protection.","Equip ""leather_chestplate"" immediately for protection."
4 generationLine2,direct,5,00082,mutated,00074,0.915,Self Preservation,"Eat ""eat_bread_until_full"" immediately if health <15, after damage, or post-fight.","Eat ""eat_bread_until_full"" if health <15, after damage, or post-fight."
4 generationLine2,direct,5,00083,new,,,Communication|Self Preservation,"If health <12, eat first + ""maintain_line_of_sight"" (distance:2, mode:""defensive"") + message; do not attack until >15.",
4 generationLine2,direct,5,00085,mutated,00076,0.916,Self Preservation,"Prioritize ""maintain_line_of_sight"" to teammates (distance:2, mode:""defensive"") before attack unless threat <2 blocks; restore ASAP.","Prioritize ""maintain_line_of_sight"" to teammates (distance:2, mode:""defensive"") unless threat <2 blocks; restore ASAP after."
4 generationLine2,direct,5,00086,mutated,00077,0.83,Communication|Self Preservation,"Send updates every turn: ""[Status: health #]. Threats: [mob IDs (distances)]. Plan: [eat/fight/regroup]. Stay close!""","Send updates post-action: ""[Status/CLEARED]. Threats: [mob IDs] ([distances]). Plan: [eat/fight]. Stay close!"""
4 generationLine2,direct,5,00087,persisted,00079,1.0,Self Preservation,Ignore items/pickups/non-threats until safe; never separate from team.,Ignore items/pickups/non-threats until safe; never separate from team.
4 generationLine2,direct,5,,disappeared,00078,,Self Preservation,,"Under attack + low health (<12), eat first, fight second."
5 generationLine3,direct,2,00089,new,,,Self Preservation,Attack only the closest zombie (prefer <5 blocks away) to avoid swarms.,
5 generationLine3,direct,2,00090,new,,,Self Preservation,Eat bread after any damage or when health <15.,
5 generationLine3,direct,2,00092,new,,,Communication|Self Preservation,Send message to teammates if health <10 or multiple zombies nearby.,
5 generationLine3,direct,2,00093,new,,,Spatial Coordination & Architecture|Self Preservation,"Move toward safer coordinates (e.g., bases or away from spawns) when no immediate threats.",
5 generationLine3,direct,2,00094,new,,,Spatial Coordination & Architecture,Place oak planks to build quick walls or shelter when swarmed.,
5 generationLine3,direct,2,00095,new,,,Mutualism|Self Preservation,Avoid attacking out-of-range targets; reposition first.,
5 generationLine3,direct,3,00096,new,,,Self Preservation,Immediately equip stone sword in hand and leather tunic/chestplate on torso.,
5 generationLine3,direct,3,00097,mutated,00089,0.857,Self Preservation,Attack only closest zombie (<5 blocks away) with sword; avoid swarms.,Attack only the closest zombie (prefer <5 blocks away) to avoid swarms.
5 generationLine3,direct,3,00100,mutated,00090,0.75,Self Preservation,Eat bread immediately after damage or if health <12.,Eat bread after any damage or when health <15.
5 generationLine3,direct,3,00101,new,,,Spatial Coordination & Architecture|Self Preservation,"If health <10, eat bread and move to safety; do not attack.",
5 generationLine3,direct,3,00102,mutated,00092,0.826,Communication|Self Preservation,"Send message to teammates if health <12, damage taken, or 3+ zombies nearby.",Send message to teammates if health <10 or multiple zombies nearby.
5 generationLine3,direct,3,00103,mutated,00093,0.688,Spatial Coordination & Architecture|Self Preservation,"Move to safer spots (bases, away from spawns) when low health or no threats.","Move toward safer coordinates (e.g., bases or away from spawns) when no immediate threats."
5 generationLine3,direct,3,00104,mutated,00095,0.632,Mutualism|Self Preservation,"Avoid attacking out-of-range, unequipped, or low health targets.",Avoid attacking out-of-range targets; reposition first.
5 generationLine3,direct,3,,disappeared,00094,,Spatial Coordination & Architecture,,Place oak planks to build quick walls or shelter when swarmed.
5 generationLine3,direct,4,00105,mutated,00096,0.848,Self Preservation,Immediately equip stone sword in hand and leather tunic on torso upon pickup.,Immediately equip stone sword in hand and leather tunic/chestplate on torso.
5 generationLine3,direct,4,00106,new,,,Mutualism,"Proactively coordinate after equipping: focus closest zombie together; melee closest <5 blocks, bow support >7 blocks.",
5 generationLine3,direct,4,00107,became more specific,00097,0.719,Spatial Coordination & Architecture|Self Preservation,"Attack only closest zombie (<5 blocks) with sword; pick one at a time, retreat if 4+ swarming.",Attack only closest zombie (<5 blocks away) with sword; avoid swarms.
5 generationLine3,direct,4,00108,new,,,Spatial Coordination & Architecture,Place oak planks to build shelter if 4+ zombies nearby.,
5 generationLine3,direct,4,00110,mutated,00100,0.903,Self Preservation,Eat bread until full immediately after damage or if health <12.,Eat bread immediately after damage or if health <12.
5 generationLine3,direct,4,00111,new,,,Communication|Spatial Coordination & Architecture|Self Preservation,"If health <10 or teammate health <12, eat bread until full, send retreat message to safe coord (e.g., (-20, 0, -10)), move there; do not attack.",
5 generationLine3,direct,4,00112,mutated,00102,0.819,Communication|Self Preservation,"Send message to teammates on damage taken, health <12, or 3+ zombies nearby.","Send message to teammates if health <12, damage taken, or 3+ zombies nearby."
5 generationLine3,direct,4,00113,mutated,00103,0.85,Spatial Coordination & Architecture|Self Preservation,Move to safe spots away from spawns (negative coords) when low health or no threats.,"Move to safer spots (bases, away from spawns) when low health or no threats."
5 generationLine3,direct,4,00114,mutated,00104,0.866,Mutualism|Self Preservation,"Avoid attacking out-of-range, unequipped, low health (<12), or swarmed targets.","Avoid attacking out-of-range, unequipped, or low health targets."
5 generationLine3,direct,4,,disappeared,00101,,Spatial Coordination & Architecture|Self Preservation,,"If health <10, eat bread and move to safety; do not attack."
5 generationLine3,direct,5,00115,persisted,00105,1.0,Self Preservation,Immediately equip stone sword in hand and leather tunic on torso upon pickup.,Immediately equip stone sword in hand and leather tunic on torso upon pickup.
5 generationLine3,direct,5,00116,became more specific,00106,0.74,Mutualism,"Proactively coordinate: focus closest zombie together; melee closest <5 blocks if <3 total zombies, bow support >12 blocks only if no threats <8 blocks.","Proactively coordinate after equipping: focus closest zombie together; melee closest <5 blocks, bow support >7 blocks."
5 generationLine3,direct,5,00117,mutated,00107,0.632,Spatial Coordination & Architecture|Self Preservation,Melee only closest zombie <5 blocks if <3 zombies total nearby; retreat if 3+ zombies.,"Attack only closest zombie (<5 blocks) with sword; pick one at a time, retreat if 4+ swarming."
5 generationLine3,direct,5,00118,mutated,00108,0.981,Spatial Coordination & Architecture,Place oak planks to build shelter if 3+ zombies nearby.,Place oak planks to build shelter if 4+ zombies nearby.
5 generationLine3,direct,5,00119,mutated,00110,0.959,Self Preservation,Eat bread until full immediately after damage or health <14.,Eat bread until full immediately after damage or if health <12.
5 generationLine3,direct,5,00120,mutated,00111,0.909,Communication|Spatial Coordination & Architecture|Self Preservation,"If health <12, teammate health <14, or 3+ zombies, eat bread until full, send retreat message to safe coord (-20, 0, -10), move there; do not attack.","If health <10 or teammate health <12, eat bread until full, send retreat message to safe coord (e.g., (-20, 0, -10)), move there; do not attack."
5 generationLine3,direct,5,00121,mutated,00112,0.986,Communication|Self Preservation,"Send message to teammates on damage taken, health <14, or 3+ zombies nearby.","Send message to teammates on damage taken, health <12, or 3+ zombies nearby."
5 generationLine3,direct,5,00122,mutated,00113,0.8,Spatial Coordination & Architecture|Self Preservation,"Move to safe spots (negative coords) when low health (<14), retreating, or no threats.",Move to safe spots away from spawns (negative coords) when low health or no threats.
5 generationLine3,direct,5,00123,mutated,00114,0.757,Mutualism|Self Preservation,"Avoid attacking out-of-range, unequipped, low health (<14), swarmed (3+ zombies), or while moving to safe.","Avoid attacking out-of-range, unequipped, low health (<12), or swarmed targets."
5 generationLine3,direct,6,00124,mutated,00115,0.804,Communication|Self Preservation,"Immediately equip stone sword in hand and leather tunic on torso upon pickup. Send ""Equipped and ready."" to teammates.",Immediately equip stone sword in hand and leather tunic on torso upon pickup.
5 generationLine3,direct,6,00125,became more specific,00119,0.648,Communication|Self Preservation,Eat bread until full as FIRST action immediately after any damage or health <14. Then send message with health and situation.,Eat bread until full immediately after damage or health <14.
5 generationLine3,direct,6,00126,mutated,00121,0.689,Communication|Self Preservation,"Send message to teammates on damage (health X), health <14, 3+ zombies (count and distances), or teammate low health.","Send message to teammates on damage taken, health <14, or 3+ zombies nearby."
5 generationLine3,direct,6,00127,new,,,Communication|Mutualism|Self Preservation,"Proactively coordinate: send ""Focusing zombie [ID]!"" then all melee same closest zombie <5 blocks if <3 total zombies nearby, health >=14, equipped/sheltered.",
5 generationLine3,direct,6,00128,new,,,Self Preservation,"Bow only zombies >12 blocks if no threats <8 blocks, health >=14.",
5 generationLine3,direct,6,00129,new,,,Communication|Spatial Coordination & Architecture|Self Preservation,"If 3+ zombies nearby: send ""3+ zombies! Building shelter."", FIRST place oak planks to build shelter, eat if needed, do not melee or retreat unless low health.",
5 generationLine3,direct,6,00130,new,,,Self Preservation,"Melee/bow only if <3 zombies, health >=14, equipped, sheltered if swarmed before, not moving.",
5 generationLine3,direct,6,00131,mutated,00120,0.782,Communication|Spatial Coordination & Architecture|Self Preservation,"If health <12 or teammate health <14: eat bread until full, send ""Low health [X]. Retreating to (-20, 0, -10)."", move there; do not attack or build.","If health <12, teammate health <14, or 3+ zombies, eat bread until full, send retreat message to safe coord (-20, 0, -10), move there; do not attack."
5 generationLine3,direct,6,00132,became more specific,00122,0.805,Spatial Coordination & Architecture|Self Preservation,"Move to safe spot (-20, 0, -10) when low health (<14), retreating confirmed, or no threats.","Move to safe spots (negative coords) when low health (<14), retreating, or no threats."
5 generationLine3,direct,6,00133,mutated,00123,0.826,Mutualism|Self Preservation,"Avoid attacking out-of-range, unequipped, low health (<14), 3+ zombies, moving, or uncoordinated.","Avoid attacking out-of-range, unequipped, low health (<14), swarmed (3+ zombies), or while moving to safe."
5 generationLine3,direct,6,,disappeared,00116,,Mutualism,,"Proactively coordinate: focus closest zombie together; melee closest <5 blocks if <3 total zombies, bow support >12 blocks only if no threats <8 blocks."
5 generationLine3,direct,6,,disappeared,00117,,Spatial Coordination & Architecture|Self Preservation,,Melee only closest zombie <5 blocks if <3 zombies total nearby; retreat if 3+ zombies.
5 generationLine3,direct,6,,disappeared,00118,,Spatial Coordination & Architecture,,Place oak planks to build shelter if 3+ zombies nearby.
5 generationLine3,direct,7,00134,mutated,00124,0.922,Communication|Self Preservation,"Immediately equip stone_sword (main hand) and leather_chestplate (torso) upon pickup. Send ""Equipped and ready."" to teammates.","Immediately equip stone sword in hand and leather tunic on torso upon pickup. Send ""Equipped and ready."" to teammates."
5 generationLine3,direct,7,00135,mutated,00125,0.858,Communication|Self Preservation,"Eat bread until full as FIRST action after ANY damage or health <16. Then send ""Health [X]. [Situation].""",Eat bread until full as FIRST action immediately after any damage or health <14. Then send message with health and situation.
5 generationLine3,direct,7,00136,mutated,00131,0.802,Communication|Spatial Coordination & Architecture|Self Preservation,"If health <14 or teammate <14: eat until full, send ""Low health [X]. Retreating to (-20, 0, -10)."", move to (-20, 0, -10); do NOTHING else.","If health <12 or teammate health <14: eat bread until full, send ""Low health [X]. Retreating to (-20, 0, -10)."", move there; do not attack or build."
5 generationLine3,direct,7,00137,mutated,00126,0.942,Communication|Self Preservation,"Send message to teammates on damage (health [X]), health <16, 3+ zombies ([count] at [dists]), teammate low health.","Send message to teammates on damage (health X), health <14, 3+ zombies (count and distances), or teammate low health."
5 generationLine3,direct,7,00138,new,,,Communication|Mutualism|Self Preservation,"Proactively coordinate: if <3 zombies all <5 blocks, health >=16, equipped/safe/not moving, send ""Focusing zombie [closest ID]!"", melee ONLY that ID.",
5 generationLine3,direct,7,00139,mutated,00128,0.899,Self Preservation,"Bow only single zombie >12 blocks, no threats <8 blocks, health >=16.","Bow only zombies >12 blocks if no threats <8 blocks, health >=14."
5 generationLine3,direct,7,00140,mutated,00131,0.587,Communication|Spatial Coordination & Architecture|Self Preservation,"If 3+ zombies: send ""3+ zombies! All retreat to (-20, 0, -10)!"", move to (-20, 0, -10), eat if damaged; do not attack or build.","If health <12 or teammate health <14: eat bread until full, send ""Low health [X]. Retreating to (-20, 0, -10)."", move there; do not attack or build."
5 generationLine3,direct,7,00141,became less specific,00130,0.713,Self Preservation,"Melee only coordinated single zombie, health >=16, equipped, safe/sheltered, not moving.","Melee/bow only if <3 zombies, health >=14, equipped, sheltered if swarmed before, not moving."
5 generationLine3,direct,7,00142,new,,,Spatial Coordination & Architecture|Self Preservation,"If no threats, health >=16: move to safe spot (-20, 0, -10).",
5 generationLine3,direct,7,00143,mutated,00133,0.718,Communication|Self Preservation,"Avoid attacking multiple zombies/without message, unequipped, health <16, 3+ zombies, moving, uncoordinated, or while retreating.","Avoid attacking out-of-range, unequipped, low health (<14), 3+ zombies, moving, or uncoordinated."
5 generationLine3,direct,7,,disappeared,00127,,Communication|Mutualism|Self Preservation,,"Proactively coordinate: send ""Focusing zombie [ID]!"" then all melee same closest zombie <5 blocks if <3 total zombies nearby, health >=14, equipped/sheltered."
5 generationLine3,direct,7,,disappeared,00129,,Communication|Spatial Coordination & Architecture|Self Preservation,,"If 3+ zombies nearby: send ""3+ zombies! Building shelter."", FIRST place oak planks to build shelter, eat if needed, do not melee or retreat unless low health."
5 generationLine3,direct,7,,disappeared,00132,,Spatial Coordination & Architecture|Self Preservation,,"Move to safe spot (-20, 0, -10) when low health (<14), retreating confirmed, or no threats."
5 generationLine3,direct,8,00144,became more specific,00134,0.807,Communication|Self Preservation,"Immediately upon pickup: equip stone_sword (main hand), then leather_chestplate (torso). Send ""Equipped and ready."" only after both.","Immediately equip stone_sword (main hand) and leather_chestplate (torso) upon pickup. Send ""Equipped and ready."" to teammates."
5 generationLine3,direct,8,00145,mutated,00135,0.945,Communication|Self Preservation,"Eat bread until full as FIRST action after ANY damage or health <16. Then send ""Health [X]."".","Eat bread until full as FIRST action after ANY damage or health <16. Then send ""Health [X]. [Situation]."""
5 generationLine3,direct,8,00146,became more specific,00140,0.59,Communication|Spatial Coordination & Architecture|Self Preservation,"On own or teammate ""3+ zombies!"" or ""retreat"" message: send ""3+ zombies! All retreat to (-20, 0, -10)!"" if own 3+, immediately move to (-20, 0, -10); do NOTHING else until arrived/safe.","If 3+ zombies: send ""3+ zombies! All retreat to (-20, 0, -10)!"", move to (-20, 0, -10), eat if damaged; do not attack or build."
